Jour;Heures;Consommation
01/01/2023;00:00:00;46008.0
01/01/2023;00:15:00;46462.0
01/01/2023;00:30:00;45349.0
01/01/2023;00:45:00;44669.0
01/01/2023;01:00:00;45387.0
01/01/2023;01:15:00;45864.0
01/01/2023;01:30:00;45500.0
01/01/2023;01:45:00;45694.0
01/01/2023;02:00:00;45444.0
01/01/2023;02:15:00;45680.0
01/01/2023;02:30:00;44566.0
01/01/2023;02:45:00;43726.0
01/01/2023;03:00:00;42878.0
01/01/2023;03:15:00;42265.0
01/01/2023;03:30:00;41583.0
01/01/2023;03:45:00;40914.0
01/01/2023;04:00:00;40164.0
01/01/2023;04:15:00;39714.0
01/01/2023;04:30:00;39247.0
01/01/2023;04:45:00;38672.0
01/01/2023;05:00:00;38504.0
01/01/2023;05:15:00;38558.0
01/01/2023;05:30:00;38356.0
01/01/2023;05:45:00;38221.0
01/01/2023;06:00:00;38132.0
01/01/2023;06:15:00;38645.0
01/01/2023;06:30:00;38578.0
01/01/2023;06:45:00;38562.0
01/01/2023;07:00:00;38619.0
01/01/2023;07:15:00;39026.0
01/01/2023;07:30:00;38993.0
01/01/2023;07:45:00;39045.0
01/01/2023;08:00:00;39238.0
01/01/2023;08:15:00;39196.0
01/01/2023;08:30:00;39263.0
01/01/2023;08:45:00;39293.0
01/01/2023;09:00:00;39557.0
01/01/2023;09:15:00;38773.0
01/01/2023;09:30:00;39331.0
01/01/2023;09:45:00;39784.0
01/01/2023;10:00:00;40059.0
01/01/2023;10:15:00;40536.0
01/01/2023;10:30:00;40889.0
01/01/2023;10:45:00;41370.0
01/01/2023;11:00:00;41823.0
01/01/2023;11:15:00;42243.0
01/01/2023;11:30:00;42684.0
01/01/2023;11:45:00;43306.0
01/01/2023;12:00:00;44001.0
01/01/2023;12:15:00;44387.0
01/01/2023;12:30:00;44275.0
01/01/2023;12:45:00;44746.0
01/01/2023;13:00:00;44553.0
01/01/2023;13:15:00;44424.0
01/01/2023;13:30:00;43647.0
01/01/2023;13:45:00;43143.0
01/01/2023;14:00:00;43325.0
01/01/2023;14:15:00;43423.0
01/01/2023;14:30:00;43015.0
01/01/2023;14:45:00;43203.0
01/01/2023;15:00:00;43122.0
01/01/2023;15:15:00;43096.0
01/01/2023;15:30:00;42554.0
01/01/2023;15:45:00;42263.0
01/01/2023;16:00:00;42150.0
01/01/2023;16:15:00;41774.0
01/01/2023;16:30:00;41874.0
01/01/2023;16:45:00;41564.0
01/01/2023;17:00:00;42287.0
01/01/2023;17:15:00;43253.0
01/01/2023;17:30:00;44504.0
01/01/2023;17:45:00;45239.0
01/01/2023;18:00:00;46315.0
01/01/2023;18:15:00;46505.0
01/01/2023;18:30:00;47065.0
01/01/2023;18:45:00;47606.0
01/01/2023;19:00:00;47868.0
01/01/2023;19:15:00;48147.0
01/01/2023;19:30:00;48048.0
01/01/2023;19:45:00;47777.0
01/01/2023;20:00:00;47442.0
01/01/2023;20:15:00;47048.0
01/01/2023;20:30:00;46409.0
01/01/2023;20:45:00;46141.0
01/01/2023;21:00:00;45939.0
01/01/2023;21:15:00;45680.0
01/01/2023;21:30:00;44824.0
01/01/2023;21:45:00;44461.0
01/01/2023;22:00:00;44138.0
01/01/2023;22:15:00;44122.0
01/01/2023;22:30:00;44648.0
01/01/2023;22:45:00;46093.0
01/01/2023;23:00:00;45638.0
01/01/2023;23:15:00;45501.0
01/01/2023;23:30:00;44986.0
01/01/2023;23:45:00;45417.0
02/01/2023;00:00:00;44652.0
02/01/2023;00:15:00;44549.0
02/01/2023;00:30:00;43390.0
02/01/2023;00:45:00;41939.0
02/01/2023;01:00:00;41628.0
02/01/2023;01:15:00;41956.0
02/01/2023;01:30:00;41826.0
02/01/2023;01:45:00;41900.0
02/01/2023;02:00:00;41590.0
02/01/2023;02:15:00;42162.0
02/01/2023;02:30:00;41293.0
02/01/2023;02:45:00;40513.0
02/01/2023;03:00:00;39790.0
02/01/2023;03:15:00;39534.0
02/01/2023;03:30:00;38950.0
02/01/2023;03:45:00;38580.0
02/01/2023;04:00:00;38441.0
02/01/2023;04:15:00;38471.0
02/01/2023;04:30:00;38370.0
02/01/2023;04:45:00;38462.0
02/01/2023;05:00:00;38892.0
02/01/2023;05:15:00;39907.0
02/01/2023;05:30:00;40167.0
02/01/2023;05:45:00;40821.0
02/01/2023;06:00:00;41461.0
02/01/2023;06:15:00;43143.0
02/01/2023;06:30:00;43917.0
02/01/2023;06:45:00;44816.0
02/01/2023;07:00:00;45655.0
02/01/2023;07:15:00;46575.0
02/01/2023;07:30:00;47215.0
02/01/2023;07:45:00;48098.0
02/01/2023;08:00:00;48957.0
02/01/2023;08:15:00;49527.0
02/01/2023;08:30:00;49770.0
02/01/2023;08:45:00;50143.0
02/01/2023;09:00:00;50613.0
02/01/2023;09:15:00;50817.0
02/01/2023;09:30:00;51405.0
02/01/2023;09:45:00;51762.0
02/01/2023;10:00:00;52248.0
02/01/2023;10:15:00;52712.0
02/01/2023;10:30:00;52711.0
02/01/2023;10:45:00;52741.0
02/01/2023;11:00:00;53214.0
02/01/2023;11:15:00;53602.0
02/01/2023;11:30:00;53642.0
02/01/2023;11:45:00;53900.0
02/01/2023;12:00:00;54528.0
02/01/2023;12:15:00;54396.0
02/01/2023;12:30:00;54181.0
02/01/2023;12:45:00;54087.0
02/01/2023;13:00:00;53340.0
02/01/2023;13:15:00;53171.0
02/01/2023;13:30:00;52733.0
02/01/2023;13:45:00;52579.0
02/01/2023;14:00:00;52742.0
02/01/2023;14:15:00;52781.0
02/01/2023;14:30:00;52459.0
02/01/2023;14:45:00;52496.0
02/01/2023;15:00:00;52326.0
02/01/2023;15:15:00;52138.0
02/01/2023;15:30:00;51585.0
02/01/2023;15:45:00;51413.0
02/01/2023;16:00:00;51284.0
02/01/2023;16:15:00;51096.0
02/01/2023;16:30:00;51040.0
02/01/2023;16:45:00;51002.0
02/01/2023;17:00:00;51584.0
02/01/2023;17:15:00;52470.0
02/01/2023;17:30:00;53849.0
02/01/2023;17:45:00;55103.0
02/01/2023;18:00:00;56037.0
02/01/2023;18:15:00;56451.0
02/01/2023;18:30:00;57403.0
02/01/2023;18:45:00;58384.0
02/01/2023;19:00:00;59168.0
02/01/2023;19:15:00;58622.0
02/01/2023;19:30:00;58213.0
02/01/2023;19:45:00;57496.0
02/01/2023;20:00:00;56819.0
02/01/2023;20:15:00;55712.0
02/01/2023;20:30:00;54708.0
02/01/2023;20:45:00;53782.0
02/01/2023;21:00:00;53074.0
02/01/2023;21:15:00;52373.0
02/01/2023;21:30:00;51610.0
02/01/2023;21:45:00;51031.0
02/01/2023;22:00:00;50752.0
02/01/2023;22:15:00;50930.0
02/01/2023;22:30:00;51415.0
02/01/2023;22:45:00;52732.0
02/01/2023;23:00:00;52342.0
02/01/2023;23:15:00;52134.0
02/01/2023;23:30:00;51924.0
02/01/2023;23:45:00;52101.0
03/01/2023;00:00:00;51351.0
03/01/2023;00:15:00;51130.0
03/01/2023;00:30:00;49763.0
03/01/2023;00:45:00;48436.0
03/01/2023;01:00:00;48106.0
03/01/2023;01:15:00;48525.0
03/01/2023;01:30:00;48215.0
03/01/2023;01:45:00;48598.0
03/01/2023;02:00:00;48308.0
03/01/2023;02:15:00;48914.0
03/01/2023;02:30:00;47921.0
03/01/2023;02:45:00;47414.0
03/01/2023;03:00:00;46695.0
03/01/2023;03:15:00;46472.0
03/01/2023;03:30:00;45754.0
03/01/2023;03:45:00;45445.0
03/01/2023;04:00:00;45262.0
03/01/2023;04:15:00;45125.0
03/01/2023;04:30:00;44912.0
03/01/2023;04:45:00;44864.0
03/01/2023;05:00:00;45631.0
03/01/2023;05:15:00;46834.0
03/01/2023;05:30:00;47393.0
03/01/2023;05:45:00;48026.0
03/01/2023;06:00:00;49209.0
03/01/2023;06:15:00;51244.0
03/01/2023;06:30:00;52461.0
03/01/2023;06:45:00;53961.0
03/01/2023;07:00:00;55434.0
03/01/2023;07:15:00;56636.0
03/01/2023;07:30:00;57911.0
03/01/2023;07:45:00;58777.0
03/01/2023;08:00:00;59597.0
03/01/2023;08:15:00;60089.0
03/01/2023;08:30:00;60534.0
03/01/2023;08:45:00;60634.0
03/01/2023;09:00:00;60627.0
03/01/2023;09:15:00;60394.0
03/01/2023;09:30:00;60697.0
03/01/2023;09:45:00;60775.0
03/01/2023;10:00:00;60844.0
03/01/2023;10:15:00;60889.0
03/01/2023;10:30:00;60577.0
03/01/2023;10:45:00;60637.0
03/01/2023;11:00:00;60504.0
03/01/2023;11:15:00;60659.0
03/01/2023;11:30:00;60617.0
03/01/2023;11:45:00;60785.0
03/01/2023;12:00:00;60823.0
03/01/2023;12:15:00;60349.0
03/01/2023;12:30:00;59806.0
03/01/2023;12:45:00;59179.0
03/01/2023;13:00:00;58508.0
03/01/2023;13:15:00;58160.0
03/01/2023;13:30:00;57574.0
03/01/2023;13:45:00;57698.0
03/01/2023;14:00:00;57538.0
03/01/2023;14:15:00;57802.0
03/01/2023;14:30:00;57370.0
03/01/2023;14:45:00;57627.0
03/01/2023;15:00:00;57064.0
03/01/2023;15:15:00;57225.0
03/01/2023;15:30:00;56604.0
03/01/2023;15:45:00;56360.0
03/01/2023;16:00:00;55702.0
03/01/2023;16:15:00;56062.0
03/01/2023;16:30:00;55811.0
03/01/2023;16:45:00;55966.0
03/01/2023;17:00:00;56176.0
03/01/2023;17:15:00;56998.0
03/01/2023;17:30:00;58192.0
03/01/2023;17:45:00;59303.0
03/01/2023;18:00:00;60307.0
03/01/2023;18:15:00;60823.0
03/01/2023;18:30:00;61844.0
03/01/2023;18:45:00;62520.0
03/01/2023;19:00:00;63154.0
03/01/2023;19:15:00;62661.0
03/01/2023;19:30:00;62276.0
03/01/2023;19:45:00;61217.0
03/01/2023;20:00:00;60403.0
03/01/2023;20:15:00;59328.0
03/01/2023;20:30:00;58455.0
03/01/2023;20:45:00;57365.0
03/01/2023;21:00:00;56529.0
03/01/2023;21:15:00;55922.0
03/01/2023;21:30:00;55155.0
03/01/2023;21:45:00;54433.0
03/01/2023;22:00:00;54144.0
03/01/2023;22:15:00;54231.0
03/01/2023;22:30:00;54464.0
03/01/2023;22:45:00;55997.0
03/01/2023;23:00:00;55569.0
03/01/2023;23:15:00;55131.0
03/01/2023;23:30:00;54691.0
03/01/2023;23:45:00;54821.0
04/01/2023;00:00:00;54065.0
04/01/2023;00:15:00;54003.0
04/01/2023;00:30:00;52482.0
04/01/2023;00:45:00;51094.0
04/01/2023;01:00:00;50599.0
04/01/2023;01:15:00;51142.0
04/01/2023;01:30:00;50870.0
04/01/2023;01:45:00;51218.0
04/01/2023;02:00:00;50919.0
04/01/2023;02:15:00;51390.0
04/01/2023;02:30:00;50400.0
04/01/2023;02:45:00;49631.0
04/01/2023;03:00:00;48982.0
04/01/2023;03:15:00;48629.0
04/01/2023;03:30:00;47911.0
04/01/2023;03:45:00;47479.0
04/01/2023;04:00:00;47213.0
04/01/2023;04:15:00;47156.0
04/01/2023;04:30:00;47030.0
04/01/2023;04:45:00;47048.0
04/01/2023;05:00:00;47455.0
04/01/2023;05:15:00;48829.0
04/01/2023;05:30:00;48979.0
04/01/2023;05:45:00;49828.0
04/01/2023;06:00:00;50575.0
04/01/2023;06:15:00;53204.0
04/01/2023;06:30:00;53776.0
04/01/2023;06:45:00;55214.0
04/01/2023;07:00:00;56564.0
04/01/2023;07:15:00;58036.0
04/01/2023;07:30:00;58616.0
04/01/2023;07:45:00;59398.0
04/01/2023;08:00:00;60317.0
04/01/2023;08:15:00;60511.0
04/01/2023;08:30:00;60863.0
04/01/2023;08:45:00;61174.0
04/01/2023;09:00:00;60946.0
04/01/2023;09:15:00;61021.0
04/01/2023;09:30:00;61173.0
04/01/2023;09:45:00;61267.0
04/01/2023;10:00:00;61378.0
04/01/2023;10:15:00;61205.0
04/01/2023;10:30:00;61144.0
04/01/2023;10:45:00;61194.0
04/01/2023;11:00:00;61413.0
04/01/2023;11:15:00;61381.0
04/01/2023;11:30:00;61345.0
04/01/2023;11:45:00;61664.0
04/01/2023;12:00:00;61883.0
04/01/2023;12:15:00;61023.0
04/01/2023;12:30:00;60578.0
04/01/2023;12:45:00;60053.0
04/01/2023;13:00:00;59224.0
04/01/2023;13:15:00;58736.0
04/01/2023;13:30:00;58125.0
04/01/2023;13:45:00;58067.0
04/01/2023;14:00:00;58138.0
04/01/2023;14:15:00;58274.0
04/01/2023;14:30:00;57976.0
04/01/2023;14:45:00;57996.0
04/01/2023;15:00:00;57590.0
